id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len
5227142,,http://nasional.inilah.com/read/detail/2267489/densus-88-jemput-lima-napi-di-lapas-tangerang,http://nasional.inilah.com/read/detail/2267489/densus-88-jemput-lima-napi-di-lapas-tangerang,Densus 88 Jemput Lima Napi di Lapas Tangerang,Densus 88 Jemput Lima Napi di Lapas Tangerang,0,45,45,0,1026,1026
4544389,,http://olahraga.inilah.com/read/detail/2252944/target-berbeda-ganda-campuran-di-hong-kong,http://olahraga.inilah.com/read/detail/2252944/target-berbeda-ganda-campuran-di-hong-kong,Target Berbeda Ganda Campuran di Hong Kong,Target Berbeda Ganda Campuran di Hong Kong,0,42,42,1,986,987
5754167,,http://www.tempo.co/read/news/2016/02/29/203749299/MS-Rotterdam-Singgah-di-Surabaya-Turis-Belanda-Nostalgiahttp://www.tempo.co/read/news/2016/02/29/203749299/MS-Rotterdam-Singgah-di-Surabaya-Turis-Belanda-Nostalgia,https://m.tempo.co/read/news/2016/02/29/203749299/ms-rotterdam-singgah-di-surabaya-turis-belanda-nostalgia,"MS Rotterdam Singgah di Surabaya, Turis Belanda Nostalgia","MS Rotterdam Singgah di Surabaya, Turis Belanda Nostalgia",0,57,57,434,2318,1968
4540125,,http://www.supersoccer.co.id/sepakbola-internasional/raul-gonzales-pensiun-dengan-manis,http://www.supersoccer.tv/sepakbola-internasional/raul-gonzales-pensiun-dengan-manis,Raul Gonzales Pensiun Dengan Manis,Raul Gonzales Pensiun Dengan Manis,0,34,34,68,1492,1424
4630619,,http://www.tempo.co/read/news/2015/11/27/111722870/JK-Rowling-Buka-Rahasia-Mengapa-Potter-Namai-Anaknya-Severus,https://m.tempo.co/read/news/2015/11/27/111722870/jk-rowling-buka-rahasia-mengapa-potter-namai-anaknya-severus,"JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus  ","JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus",2,63,61,214,1173,959
5239210,,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,8 Kepribadian Orang Berdasarkan Makanan Kelilng Kesukaannya,8 Kepribadian Orang Berdasarkan Makanan Keliling Kesukaannya,1,59,60,172,4420,4252
5231683,,http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/01/17/19425172/willian-targetkan-kontrak-baru-di-chelsea,http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/01/17/19425172/willian-targetkan-kontrak-baru-di-chelsea,Willian Targetkan Kontrak Baru Di Chelsea,Willian Targetkan Kontrak Baru Di Chelsea,0,41,41,2,1120,1122
5214191,,http://bola.inilah.com/read/detail/2267356/aguero-perpaduan-sempurna-dari-messi-dan-henry,http://bola.inilah.com/read/detail/2267356/aguero-perpaduan-sempurna-dari-messi-dan-henry,"""Aguero Perpaduan Sempurna dari Messi dan Henry""","""Aguero Perpaduan Sempurna dari Messi dan Henry""",0,48,48,1,1262,1263
5231691,,http://www.antaranews.com/berita/540540/juventus-hajar-10-pemain-udinese-4-0,http://www.antaranews.com/berita/540540/juventus-hajar-10-pemain-udinese-4-0,Juventus hajar 10 pemain Udinese 4-0,Juventus hajar 10 pemain Udinese 4-0,0,36,36,1614,340,1923
4544397,,http://www.antaranews.com/berita/529847/prince-juga-batalkan-konser-di-prancis,http://www.antaranews.com/berita/529847/prince-juga-batalkan-konser-di-prancis,Prince juga batalkan konser di Prancis,Prince juga batalkan konser di Prancis,0,38,38,1181,361,1502
id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len
5227024,,http://www.tribunnews.com/video/2016/01/17/dinilai-hina-nabi-muhammad-di-facebook-guru-di-pangkalpinang-dinonaktifkan,http://www.tribunnews.com/video/2016/01/17/dinilai-hina-nabi-muhammad-di-facebook-guru-di-pangkalpinang-dinonaktifkan,"Dinilai Hina Nabi Muhammad di Facebook, Guru di Pangkalpinang Dinonaktifkan","Dinilai Hina Nabi Muhammad di Facebook, Guru di Pangkalpinang Dinonaktifkan",0,75,75,90,1623,1535
5227142,,http://nasional.inilah.com/read/detail/2267489/densus-88-jemput-lima-napi-di-lapas-tangerang,http://nasional.inilah.com/read/detail/2267489/densus-88-jemput-lima-napi-di-lapas-tangerang,Densus 88 Jemput Lima Napi di Lapas Tangerang,Densus 88 Jemput Lima Napi di Lapas Tangerang,0,45,45,0,1026,1026
4544389,,http://olahraga.inilah.com/read/detail/2252944/target-berbeda-ganda-campuran-di-hong-kong,http://olahraga.inilah.com/read/detail/2252944/target-berbeda-ganda-campuran-di-hong-kong,Target Berbeda Ganda Campuran di Hong Kong,Target Berbeda Ganda Campuran di Hong Kong,0,42,42,1,986,987
5754167,,http://www.tempo.co/read/news/2016/02/29/203749299/MS-Rotterdam-Singgah-di-Surabaya-Turis-Belanda-Nostalgiahttp://www.tempo.co/read/news/2016/02/29/203749299/MS-Rotterdam-Singgah-di-Surabaya-Turis-Belanda-Nostalgia,https://m.tempo.co/read/news/2016/02/29/203749299/ms-rotterdam-singgah-di-surabaya-turis-belanda-nostalgia,"MS Rotterdam Singgah di Surabaya, Turis Belanda Nostalgia","MS Rotterdam Singgah di Surabaya, Turis Belanda Nostalgia",0,57,57,434,2318,1968
4540125,,http://www.supersoccer.co.id/sepakbola-internasional/raul-gonzales-pensiun-dengan-manis,http://www.supersoccer.tv/sepakbola-internasional/raul-gonzales-pensiun-dengan-manis,Raul Gonzales Pensiun Dengan Manis,Raul Gonzales Pensiun Dengan Manis,0,34,34,68,1492,1424
4630619,,http://www.tempo.co/read/news/2015/11/27/111722870/JK-Rowling-Buka-Rahasia-Mengapa-Potter-Namai-Anaknya-Severus,https://m.tempo.co/read/news/2015/11/27/111722870/jk-rowling-buka-rahasia-mengapa-potter-namai-anaknya-severus,"JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus  ","JK Rowling Buka Rahasia, Mengapa Potter Namai Anaknya Severus",2,63,61,214,1173,959
5239210,,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,http://malesbanget.com/2016/01/8-kepribadian-orang-berdasarkan-makanan-kelilng-kesukaannya/,8 Kepribadian Orang Berdasarkan Makanan Kelilng Kesukaannya,8 Kepribadian Orang Berdasarkan Makanan Keliling Kesukaannya,1,59,60,172,4420,4252
5231683,,http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/01/17/19425172/willian-targetkan-kontrak-baru-di-chelsea,http://www.goal.com/id-ID/news/1108/sepakbola-inggris/2016/01/17/19425172/willian-targetkan-kontrak-baru-di-chelsea,Willian Targetkan Kontrak Baru Di Chelsea,Willian Targetkan Kontrak Baru Di Chelsea,0,41,41,2,1120,1122
5214191,,http://bola.inilah.com/read/detail/2267356/aguero-perpaduan-sempurna-dari-messi-dan-henry,http://bola.inilah.com/read/detail/2267356/aguero-perpaduan-sempurna-dari-messi-dan-henry,"""Aguero Perpaduan Sempurna dari Messi dan Henry""","""Aguero Perpaduan Sempurna dari Messi dan Henry""",0,48,48,1,1262,1263
5231691,,http://www.antaranews.com/berita/540540/juventus-hajar-10-pemain-udinese-4-0,http://www.antaranews.com/berita/540540/juventus-hajar-10-pemain-udinese-4-0,Juventus hajar 10 pemain Udinese 4-0,Juventus hajar 10 pemain Udinese 4-0,0,36,36,1614,340,1923
4544397,,http://www.antaranews.com/berita/529847/prince-juga-batalkan-konser-di-prancis,http://www.antaranews.com/berita/529847/prince-juga-batalkan-konser-di-prancis,Prince juga batalkan konser di Prancis,Prince juga batalkan konser di Prancis,0,38,38,1181,361,1502
